ALLSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,T2MDEW,TS,WS10M,PRECTOTCORR,RH2M,SoilMoistureIndex,Date
4.01,0.61,331.17,6.72,16.95,7.48,0.05,55.0,0.00029968211415683346,2014-10-23
4.42,0.68,333.5,8.9,18.02,5.07,0.07,60.38,0.00039486664020821707,2014-10-24
4.21,0.66,326.78,8.66,17.51,2.5,0.01,62.62,5.795081085581089e-05,2014-10-25
4.1,0.64,336.38,10.42,18.44,3.69,0.77,65.19,0.004233679984771121,2014-10-26
4.01,0.63,334.02,10.7,18.08,1.93,1.88,66.88,0.010548563504434883,2014-10-27
3.91,0.62,333.04,8.22,18.11,2.65,0.98,56.44,0.0054964023801701185,2014-10-28
4.14,0.66,327.25,7.31,18.46,2.03,0.48,52.06,0.002641209422536867,2014-10-29
4.21,0.68,317.85,9.83,17.06,2.72,0.4,70.31,0.0023769746186968806,2014-10-30
4.0,0.66,320.32,8.46,15.54,3.81,0.03,69.69,0.00019558978875629658,2014-10-31
3.7,0.61,320.37,7.73,14.87,3.33,0.02,69.25,0.00013622639593420624,2014-11-01
4.18,0.7,309.7,6.62,14.94,2.09,0.29,62.75,0.0019662294511782604,2014-11-02
4.25,0.72,298.86,4.9,14.57,4.09,0.0,55.5,0.0,2014-11-03
3.93,0.66,310.87,5.33,15.23,4.16,0.0,53.31,0.0,2014-11-04
2.21,0.38,343.02,5.16,15.08,5.09,0.1,51.88,0.0006771569728826222,2014-11-05
1.07,0.19,342.2,9.0,12.02,4.2,25.35,81.69,0.21528102305149352,2014-11-06
2.76,0.48,333.24,6.05,12.98,8.42,0.6,64.81,0.004713153622344381,2014-11-07
3.98,0.7,311.27,7.23,14.23,4.7,0.13,65.62,0.0009292125287029274,2014-11-08
3.97,0.7,315.88,8.13,14.98,3.69,0.01,64.19,6.787815710798433e-05,2014-11-09
2.35,0.42,339.5,8.29,14.9,3.97,0.0,65.5,0.0,2014-11-10
2.65,0.48,346.33,9.62,16.33,2.66,1.16,71.0,0.007251102714143049,2014-11-11
3.57,0.65,320.3,6.52,15.28,3.62,0.0,57.94,0.0,2014-11-12
3.83,0.7,304.62,6.14,14.37,3.15,0.0,58.38,0.0,2014-11-13
3.77,0.7,312.55,5.94,14.76,5.05,0.0,55.94,0.0,2014-11-14
3.12,0.59,333.91,4.87,16.29,5.3,0.0,47.0,0.0,2014-11-15
2.84,0.53,328.49,10.51,15.27,2.72,0.03,74.31,0.00019975682371041093,2014-11-16
3.26,0.62,315.62,5.83,15.66,3.42,0.0,53.12,0.0,2014-11-17
3.02,0.58,333.09,6.09,15.9,2.93,0.02,52.81,0.00012794754055299684,2014-11-18
3.57,0.69,313.5,4.61,15.45,3.19,0.0,49.06,0.0,2014-11-19
3.54,0.69,309.82,4.08,15.33,2.52,0.0,45.94,0.0,2014-11-20
3.55,0.7,311.43,3.54,16.26,3.52,0.0,41.69,0.0,2014-11-21
3.38,0.66,318.7,4.12,16.9,2.29,0.0,40.19,0.0,2014-11-22
3.04,0.6,324.3,7.05,15.39,2.3,0.0,55.0,0.0,2014-11-23
2.59,0.52,343.36,10.31,16.09,2.77,0.04,70.94,0.0002518590703349394,2014-11-24
0.81,0.16,359.59,11.77,15.15,2.12,0.44,77.69,0.0029461278957878573,2014-11-25
2.97,0.6,339.25,11.02,14.67,1.83,0.98,77.38,0.006788067454125082,2014-11-26
2.78,0.57,319.41,8.98,13.71,2.95,0.12,71.0,0.0008916520155040789,2014-11-27
2.95,0.6,317.46,3.48,14.18,4.85,0.0,48.75,0.0,2014-11-28
1.65,0.34,342.94,5.12,15.74,5.76,0.0,48.88,0.0,2014-11-29
1.45,0.3,356.09,2.94,16.58,8.33,0.41,40.38,0.0025239824724571356,2014-11-30
3.26,0.68,299.28,4.51,12.59,6.6,0.0,59.25,0.0,2014-12-01
3.07,0.64,318.88,5.57,12.65,5.91,0.58,64.06,0.004687099691350961,2014-12-02
2.39,0.51,316.84,7.88,13.46,2.95,0.36,69.69,0.0027280389065175536,2014-12-03
3.27,0.7,298.45,4.54,12.31,4.16,0.0,60.81,0.0,2014-12-04
3.34,0.71,289.23,2.19,11.91,3.77,0.05,52.69,0.0004263677386653119,2014-12-05
2.93,0.62,287.37,3.96,10.15,2.64,0.0,68.0,0.0,2014-12-06
3.1,0.66,275.85,2.05,8.6,4.24,0.19,68.25,0.002245522810385624,2014-12-07
1.77,0.38,314.45,4.79,9.56,7.34,0.94,73.38,0.009984558627766557,2014-12-08
1.98,0.43,312.37,3.94,8.19,5.91,6.16,75.56,0.07658931927758464,2014-12-09
1.59,0.34,315.94,4.94,8.72,9.87,2.52,76.38,0.02939413337533124,2014-12-10
1.25,0.27,311.01,5.84,9.27,7.38,1.11,78.25,0.012140981202421174,2014-12-11
2.97,0.65,287.45,4.6,9.54,3.81,0.24,72.75,0.0025462055787478484,2014-12-12
3.28,0.72,269.14,1.95,8.57,5.91,0.0,65.19,0.0,2014-12-13
2.45,0.54,287.23,1.33,8.12,5.45,0.0,63.12,0.0,2014-12-14
2.7,0.59,304.58,1.87,9.03,3.31,0.01,61.81,0.00011252266702994143,2014-12-15
2.81,0.62,283.96,0.49,8.76,5.12,0.0,58.44,0.0,2014-12-16
2.29,0.51,308.18,4.77,9.01,4.81,0.5,75.19,0.005637748984415456,2014-12-17
1.24,0.27,325.54,6.59,8.49,3.98,2.71,85.19,0.032364741505413255,2014-12-18
2.94,0.65,301.6,6.8,10.1,3.52,0.41,78.31,0.00410564964809061,2014-12-19
3.09,0.69,295.21,7.53,11.26,3.3,0.23,78.06,0.0020636825480138555,2014-12-20
3.09,0.69,287.74,6.48,9.85,3.7,0.27,79.12,0.0027680988136821448,2014-12-21
3.19,0.7,271.46,4.22,7.84,2.57,0.07,73.38,0.0009002241131233685,2014-12-22
3.22,0.71,267.02,1.9,7.51,3.45,0.0,67.0,0.0,2014-12-23
3.25,0.72,263.09,0.66,7.77,3.11,0.0,61.56,0.0,2014-12-24
3.09,0.68,268.0,0.38,7.13,2.78,0.01,61.88,0.00014182116309239298,2014-12-25
2.27,0.5,288.18,4.24,7.9,6.46,0.2,76.94,0.0025635027771473908,2014-12-26
2.41,0.53,292.83,2.82,7.92,4.95,0.12,72.12,0.0015362666632056275,2014-12-27
2.81,0.62,299.4,1.98,9.34,6.38,0.97,63.75,0.010583620642559662,2014-12-28
1.99,0.44,297.38,1.84,6.54,4.28,0.71,74.88,0.011036533110611499,2014-12-29
2.48,0.54,278.44,-1.63,3.94,7.19,0.41,67.88,0.010552195527461495,2014-12-30
1.15,0.25,292.39,-1.23,2.44,4.44,12.07,78.38,0.5016174530836199,2014-12-31
1.47,0.32,278.86,-0.33,1.64,7.72,0.98,84.56,0.06047395080232469,2015-01-01
2.51,0.55,287.28,1.46,3.96,4.84,0.87,83.75,0.02215547406302332,2015-01-02
3.32,0.72,265.55,2.35,6.24,4.2,0.12,76.25,0.0019366814771893288,2015-01-03
3.39,0.73,273.81,-0.16,8.51,5.44,0.06,56.81,0.0007122472998063042,2015-01-04
2.88,0.62,288.14,5.11,8.21,5.42,0.28,80.25,0.0034461551371123503,2015-01-05
3.41,0.73,263.03,1.75,6.15,3.55,0.0,70.0,0.0,2015-01-06
3.16,0.67,271.73,2.19,6.55,2.63,0.0,70.31,0.0,2015-01-07
3.22,0.68,270.8,2.05,7.43,1.85,0.0,65.56,0.0,2015-01-08
3.26,0.68,267.96,3.48,6.89,3.49,0.0,76.69,0.0,2015-01-09
3.49,0.73,273.23,2.76,8.88,4.6,0.0,64.62,0.0,2015-01-10
3.56,0.74,272.02,-3.77,11.09,4.4,0.03,36.94,0.0002736095964422941,2015-01-11
3.54,0.73,282.68,2.61,8.97,5.43,0.22,62.81,0.0024744920387357525,2015-01-12
3.61,0.74,269.49,-1.84,7.25,4.4,0.0,49.81,0.0,2015-01-13
3.28,0.67,307.05,1.22,11.19,2.45,0.0,47.94,0.0,2015-01-14
3.46,0.7,291.86,2.94,10.81,3.07,0.0,55.81,0.0,2015-01-15
3.44,0.7,297.28,5.21,11.44,4.74,3.22,65.38,0.02854938220614211,2015-01-16
2.54,0.51,292.98,4.74,8.83,4.12,0.45,74.69,0.005174737576164672,2015-01-17
1.78,0.35,308.71,5.58,8.15,3.2,5.86,85.75,0.07309951919419741,2015-01-18
2.63,0.52,295.74,-0.95,6.41,3.93,0.01,63.06,0.00015888427955535345,2015-01-19
3.35,0.66,276.75,-1.42,7.52,3.13,0.12,54.0,0.0016282261329097147,2015-01-20
3.55,0.69,276.24,0.5,6.94,4.01,0.0,66.31,0.0,2015-01-21
2.93,0.56,294.21,-0.22,6.41,5.08,1.27,63.88,0.020225560778052012,2015-01-22
2.82,0.54,294.05,2.0,6.8,6.81,0.57,72.5,0.008550750788880342,2015-01-23
2.95,0.55,285.71,1.66,7.2,7.81,0.29,69.19,0.004098471325456813,2015-01-24
2.47,0.46,301.12,1.02,5.89,4.96,0.88,72.06,0.015213048904577902,2015-01-25
1.6,0.3,310.39,2.09,5.92,6.08,0.49,77.06,0.008419250747030392,2015-01-26
3.21,0.59,298.34,2.46,7.28,5.36,0.67,75.56,0.009341643292890892,2015-01-27
1.92,0.35,322.8,3.61,7.73,5.42,2.44,77.19,0.032089459534991545,2015-01-28
2.84,0.52,302.67,2.06,7.89,4.95,0.28,70.56,0.003611456595116058,2015-01-29
2.95,0.53,310.76,4.12,10.62,6.95,0.38,65.31,0.0036628287803465633,2015-01-30
3.5,0.62,318.13,7.8,13.58,9.88,0.37,70.62,0.002798027500354934,2015-01-31
3.7,0.66,275.62,-0.89,8.2,5.95,0.38,54.5,0.0047381036381913015,2015-02-01
3.43,0.6,286.71,-2.24,6.11,5.15,0.1,59.06,0.001666941169653663,2015-02-02
4.25,0.73,263.24,-2.47,6.87,7.1,0.0,52.31,0.0,2015-02-03
3.93,0.67,279.9,-2.62,9.25,5.55,0.0,47.06,0.0,2015-02-04
3.37,0.57,277.28,-5.1,5.92,4.94,0.02,48.19,0.0003457057500653046,2015-02-05
4.34,0.73,256.44,-4.59,5.08,5.5,0.0,54.12,0.0,2015-02-06
4.1,0.69,264.84,-3.6,6.4,3.96,0.0,50.25,0.0,2015-02-07
4.33,0.72,264.71,-2.01,6.16,4.29,0.03,61.81,0.0004948695478664936,2015-02-08
2.68,0.44,278.84,-0.1,5.58,7.09,0.52,70.19,0.00946200727364663,2015-02-09
4.54,0.73,254.84,-2.11,5.88,4.43,0.0,61.44,0.0,2015-02-10
3.74,0.6,280.45,-3.6,7.33,3.4,0.0,46.56,0.0,2015-02-11
4.32,0.69,285.53,-0.56,9.0,2.55,0.01,51.69,0.00011274652200947206,2015-02-12
3.14,0.5,324.88,3.98,8.95,1.91,1.11,73.25,0.012582188590555267,2015-02-13
3.63,0.57,303.56,4.39,7.51,2.99,0.79,77.56,0.0106818398986237,2015-02-14
3.31,0.52,312.83,2.73,8.57,3.71,0.08,67.38,0.0009496272650647141,2015-02-15
1.74,0.27,314.12,4.34,9.3,3.24,7.49,74.75,0.08203617600305141,2015-02-16
3.23,0.49,309.85,2.53,8.01,2.31,1.24,71.75,0.015753173397463644,2015-02-17
3.58,0.54,303.43,4.16,7.86,2.16,1.8,80.69,0.023225878547171983,2015-02-18
2.03,0.3,312.73,5.94,8.59,4.89,2.26,85.62,0.026620269619426037,2015-02-19
1.73,0.26,319.26,6.95,8.39,5.49,15.62,90.81,0.1886618911968558,2015-02-20
1.77,0.26,338.05,7.23,9.18,2.67,14.23,89.62,0.15821557103651052,2015-02-21
1.89,0.27,322.36,4.12,7.02,6.59,13.6,81.88,0.19862917915773418,2015-02-22
4.23,0.61,309.56,1.87,8.46,8.52,2.59,66.31,0.031221571341229916,2015-02-23
4.12,0.59,291.13,2.65,9.08,8.09,0.04,67.06,0.00044863234249297454,2015-02-24
3.85,0.55,294.63,0.55,7.58,7.53,1.63,64.69,0.021915448250012667,2015-02-25
2.4,0.34,325.77,4.12,8.18,6.28,3.06,76.56,0.038149906554890624,2015-02-26
4.78,0.66,304.95,1.52,10.39,4.3,3.61,61.81,0.03537492396722017,2015-02-27
1.89,0.26,321.47,4.21,8.36,5.44,2.39,77.75,0.029060214434653883,2015-02-28
4.35,0.59,289.8,2.5,7.69,3.87,0.16,72.69,0.0021076705201827526,2015-03-01
5.13,0.7,295.92,5.13,11.39,2.52,0.01,70.94,8.88237274209474e-05,2015-03-02
5.26,0.7,321.3,6.37,15.75,2.43,0.0,58.25,0.0,2015-03-03
5.4,0.72,317.76,4.99,16.69,5.64,0.01,49.25,6.072302252710138e-05,2015-03-04
5.13,0.68,295.78,1.05,10.49,9.62,0.53,56.69,0.005131818346490034,2015-03-05
4.35,0.57,295.2,0.23,7.79,7.7,0.78,61.75,0.010150810608496678,2015-03-06
4.35,0.56,303.16,-0.35,7.23,7.17,0.24,63.5,0.0033635157525301867,2015-03-07
3.67,0.47,312.23,2.26,6.94,3.91,6.08,76.5,0.08895251706069747,2015-03-08
3.23,0.41,321.38,3.52,7.84,5.69,7.67,77.06,0.09921031445782522,2015-03-09
4.17,0.53,299.2,2.94,8.86,2.19,12.49,69.69,0.14268606465931896,2015-03-10
5.86,0.73,278.01,1.33,9.69,3.03,0.02,61.06,0.00020888852051927467,2015-03-11
5.83,0.73,293.84,3.23,13.41,4.18,0.02,55.31,0.00015136878814251434,2015-03-12
5.46,0.68,295.65,5.37,12.69,1.94,0.02,71.38,0.00015994061389207443,2015-03-13
5.74,0.7,285.6,5.33,11.45,3.29,0.01,74.0,8.861259679467657e-05,2015-03-14
3.72,0.45,332.98,7.32,13.64,3.66,0.1,74.69,0.0007455810298926643,2015-03-15
4.31,0.52,332.57,7.66,14.45,5.05,0.13,72.81,0.0009151600314900582,2015-03-16
5.68,0.68,302.7,4.7,13.05,2.6,0.04,68.38,0.00031113703574005654,2015-03-17
6.12,0.73,290.09,4.84,12.83,2.36,0.06,70.56,0.0004744639187856969,2015-03-18
6.17,0.73,283.82,6.12,13.29,3.14,0.04,72.88,0.00030562854964202266,2015-03-19
3.43,0.41,326.7,8.8,13.33,6.11,0.56,80.81,0.004270365705357582,2015-03-20
2.25,0.27,351.9,10.3,14.99,4.77,0.95,81.38,0.006454809886093853,2015-03-21
5.94,0.69,315.62,3.7,14.22,5.3,0.05,57.69,0.00035873728137221375,2015-03-22
5.72,0.66,311.98,6.81,14.42,2.92,0.03,68.94,0.0002118275121286045,2015-03-23
1.67,0.19,357.38,9.9,13.07,3.86,13.67,81.62,0.10709378497381976,2015-03-24
5.45,0.62,313.73,5.59,13.79,5.21,3.15,64.0,0.023406506264441775,2015-03-25
3.37,0.38,329.91,5.85,8.93,6.84,41.19,80.25,0.47137977172160983,2015-03-26
5.62,0.63,312.01,4.08,11.2,9.95,0.19,65.19,0.0017266504461355653,2015-03-27
6.57,0.73,291.21,3.77,12.0,10.09,0.07,61.31,0.0005929580713793393,2015-03-28
5.64,0.62,317.72,6.56,13.4,6.41,0.09,68.81,0.0006815625733746078,2015-03-29
4.95,0.55,322.52,5.05,15.09,4.84,0.0,56.94,0.0,2015-03-30
6.63,0.73,315.52,6.94,16.68,6.3,0.0,57.62,0.0,2015-03-31
6.75,0.73,305.93,6.44,16.99,6.23,0.0,55.19,0.0,2015-04-01
6.98,0.75,292.85,3.59,14.73,5.4,0.0,56.06,0.0,2015-04-02
6.95,0.74,293.11,4.0,15.04,4.09,0.0,57.5,0.0,2015-04-03
5.36,0.57,330.79,5.85,15.68,4.05,0.0,58.06,0.0,2015-04-04
6.69,0.71,312.34,5.98,16.3,2.41,0.0,58.69,0.0,2015-04-05
5.59,0.59,318.3,5.3,13.88,3.97,0.01,64.31,7.323862182987113e-05,2015-04-06
6.1,0.64,298.6,0.93,11.17,6.66,0.0,58.06,0.0,2015-04-07
7.02,0.73,273.02,-0.2,10.01,5.41,0.0,57.19,0.0,2015-04-08
7.44,0.77,269.29,-0.12,11.03,3.29,0.0,57.06,0.0,2015-04-09
7.24,0.75,282.15,2.53,12.4,3.91,0.0,60.19,0.0,2015-04-10
7.27,0.74,288.32,-0.31,13.73,4.43,0.0,44.75,0.0,2015-04-11
7.16,0.73,300.1,1.1,15.68,2.59,0.0,42.5,0.0,2015-04-12
7.16,0.73,309.11,2.25,16.87,2.1,0.0,43.88,0.0,2015-04-13
7.4,0.75,304.09,3.51,17.25,2.05,0.0,50.81,0.0,2015-04-14
7.46,0.75,309.34,4.24,17.89,2.98,0.0,49.62,0.0,2015-04-15
7.11,0.71,321.02,2.06,19.48,4.74,0.0,36.81,0.0,2015-04-16
6.53,0.65,334.48,-0.67,21.26,4.37,0.0,27.75,0.0,2015-04-17
4.47,0.45,358.44,7.32,19.67,3.65,0.01,50.75,5.16803289780687e-05,2015-04-18
6.15,0.61,355.01,8.94,24.12,4.27,0.0,43.75,0.0,2015-04-19
5.11,0.5,352.89,10.53,19.66,2.58,0.18,62.19,0.0009294712821220055,2015-04-20
6.35,0.62,326.52,7.0,17.39,3.84,0.0,58.44,0.0,2015-04-21
4.46,0.44,340.8,7.35,18.49,2.85,0.0,59.62,0.0,2015-04-22
6.58,0.64,353.02,6.77,21.48,3.52,0.0,45.38,0.0,2015-04-23
6.06,0.59,360.31,9.88,24.61,3.91,0.0,47.38,0.0,2015-04-24
6.9,0.66,345.99,8.3,20.75,3.25,0.0,53.75,0.0,2015-04-25
6.11,0.59,360.02,9.29,19.94,2.87,0.0,59.44,0.0,2015-04-26
5.98,0.57,368.12,9.44,21.8,3.87,0.1,54.19,0.0004677120337769883,2015-04-27
7.52,0.71,325.48,5.15,20.54,2.91,0.0,48.25,0.0,2015-04-28
7.41,0.7,332.41,8.95,19.3,2.7,0.13,59.5,0.0006832782490289903,2015-04-29
7.37,0.7,341.28,9.42,21.54,2.76,0.01,55.06,4.707465744668211e-05,2015-04-30
7.78,0.73,334.05,7.18,22.38,3.25,0.0,46.25,0.0,2015-05-01
7.54,0.7,360.0,7.83,26.2,3.79,0.0,36.56,0.0,2015-05-02
7.67,0.72,367.7,6.77,26.98,4.84,0.0,32.75,0.0,2015-05-03
7.8,0.73,373.95,4.73,29.12,4.34,0.0,25.06,0.0,2015-05-04
7.69,0.71,381.4,4.86,29.48,4.0,0.0,24.0,0.0,2015-05-05
7.12,0.66,383.24,6.07,29.01,4.07,0.0,27.25,0.0,2015-05-06
7.56,0.7,366.86,10.76,27.21,3.2,0.0,45.81,0.0,2015-05-07
7.73,0.71,356.16,9.83,26.93,4.53,0.0,42.88,0.0,2015-05-08
8.25,0.76,328.2,8.03,23.75,7.55,0.0,43.75,0.0,2015-05-09
8.21,0.75,324.12,7.47,22.33,7.1,0.0,46.81,0.0,2015-05-10
8.29,0.76,326.16,3.4,24.29,2.81,0.0,36.31,0.0,2015-05-11
8.08,0.73,329.62,5.62,24.13,2.28,0.0,39.06,0.0,2015-05-12
8.22,0.74,331.74,4.03,23.87,1.89,0.0,35.94,0.0,2015-05-13
7.81,0.7,353.29,2.7,25.76,3.38,0.0,27.38,0.0,2015-05-14
6.79,0.61,369.32,2.54,26.88,6.77,0.0,25.94,0.0,2015-05-15
5.88,0.53,356.83,7.31,20.81,6.93,0.66,50.62,0.00322371478014663,2015-05-16
5.7,0.52,356.18,7.88,19.15,7.92,0.65,56.25,0.0034513295862164148,2015-05-17
7.6,0.68,350.29,10.42,22.01,7.77,0.14,55.31,0.0006470710998549772,2015-05-18
7.69,0.69,355.62,6.66,24.85,5.48,0.02,36.38,8.193367774193155e-05,2015-05-19
5.33,0.48,381.45,5.87,26.88,4.09,0.13,31.31,0.0004926297403864338,2015-05-20
5.67,0.51,353.05,8.39,19.55,9.57,0.24,56.81,0.0012474256429084811,2015-05-21
8.07,0.72,305.62,3.9,18.64,6.99,0.0,46.81,0.0,2015-05-22
7.48,0.66,326.64,5.94,20.84,1.83,0.01,49.38,4.874615856354955e-05,2015-05-23
7.44,0.66,343.8,7.79,22.09,3.12,0.0,51.25,0.0,2015-05-24
6.37,0.56,347.39,8.0,20.64,6.76,0.0,53.0,0.0,2015-05-25
6.18,0.55,352.87,9.54,20.19,6.12,0.36,58.44,0.0018151082266601637,2015-05-26
8.05,0.71,329.15,6.88,21.2,5.78,0.06,50.5,0.0002875994154951379,2015-05-27
8.51,0.75,312.43,4.87,22.09,4.06,0.0,44.44,0.0,2015-05-28
7.8,0.69,350.66,9.95,23.78,3.55,0.11,54.38,0.0004698661211630364,2015-05-29
6.59,0.58,378.06,9.49,23.84,3.88,0.07,48.44,0.00029848424903482717,2015-05-30
7.53,0.66,373.09,11.62,24.21,2.68,1.74,55.81,0.0072985361095048145,2015-05-31
8.34,0.73,344.38,8.87,24.09,3.02,0.67,50.0,0.0028237727989692306,2015-06-01
8.38,0.73,337.37,6.83,22.92,3.49,0.0,45.38,0.0,2015-06-02
8.46,0.74,333.67,7.82,23.15,3.88,0.0,48.06,0.0,2015-06-03
8.4,0.73,330.84,6.29,22.78,4.3,0.0,41.0,0.0,2015-06-04
8.26,0.72,341.6,7.29,24.46,3.84,0.02,42.06,8.296964007238336e-05,2015-06-05
8.04,0.7,357.34,7.0,26.13,2.95,0.0,37.12,0.0,2015-06-06
7.27,0.63,370.88,10.72,26.34,3.23,1.18,47.5,0.004543010719872377,2015-06-07
6.68,0.58,378.28,12.72,25.8,2.92,23.22,52.88,0.09140943019296756,2015-06-08
5.83,0.51,388.02,13.6,25.81,2.88,1.28,53.19,0.005042968709412295,2015-06-09
7.39,0.64,380.98,11.26,28.87,1.98,0.22,42.19,0.0007746500021464998,2015-06-10
6.19,0.54,403.68,12.34,28.31,3.86,0.01,44.06,3.59078795831371e-05,2015-06-11
7.81,0.68,379.49,12.4,27.95,6.18,0.01,49.62,3.644010929010333e-05,2015-06-12
6.55,0.57,400.61,11.88,28.21,4.3,0.07,50.44,0.00025307129938722075,2015-06-13
8.06,0.7,378.33,12.76,28.09,5.09,0.0,49.5,0.0,2015-06-14
7.78,0.67,380.48,12.94,27.84,3.64,0.01,50.0,3.651596979895136e-05,2015-06-15
7.79,0.67,378.11,12.23,27.49,4.36,0.03,48.19,0.00011089682809197751,2015-06-16
8.38,0.73,355.94,11.62,27.03,5.26,0.02,48.31,7.515447469922373e-05,2015-06-17
8.28,0.72,357.55,10.51,26.33,4.81,0.0,47.75,0.0,2015-06-18
8.12,0.7,362.23,10.62,28.01,2.45,0.17,43.06,0.000616685277249779,2015-06-19
8.35,0.73,351.4,9.95,27.98,4.08,0.0,41.31,0.0,2015-06-20
8.54,0.74,345.84,8.39,25.74,5.59,0.0,42.38,0.0,2015-06-21
8.48,0.73,351.2,8.4,26.55,3.0,0.0,44.56,0.0,2015-06-22
6.9,0.6,406.09,10.2,29.65,3.74,0.03,39.88,0.0001028711312017934,2015-06-23
7.83,0.68,382.77,9.87,28.15,6.73,0.0,37.75,0.0,2015-06-24
7.67,0.66,371.23,11.44,26.53,7.95,0.0,45.31,0.0,2015-06-25
8.28,0.72,371.86,11.25,28.05,4.72,0.0,45.25,0.0,2015-06-26
8.49,0.73,358.11,5.9,27.79,3.1,0.0,36.19,0.0,2015-06-27
8.33,0.73,367.88,7.47,29.07,3.81,0.0,32.56,0.0,2015-06-28
8.39,0.73,369.91,6.78,29.62,3.35,0.0,31.44,0.0,2015-06-29
8.36,0.73,369.26,11.08,29.58,2.89,0.0,43.19,0.0,2015-06-30
8.17,0.71,376.91,10.81,28.98,3.28,0.0,41.12,0.0,2015-07-01
8.3,0.73,369.45,10.94,28.64,3.34,0.0,43.06,0.0,2015-07-02
8.5,0.74,354.72,10.98,28.08,3.25,0.0,45.94,0.0,2015-07-03
8.11,0.71,376.56,9.51,28.76,2.57,0.0,38.81,0.0,2015-07-04
8.19,0.72,374.02,11.09,28.87,3.27,0.0,42.19,0.0,2015-07-05
8.18,0.72,367.2,7.73,28.47,2.69,0.0,34.56,0.0,2015-07-06
8.27,0.73,366.98,7.61,29.19,2.41,0.0,32.0,0.0,2015-07-07
8.08,0.71,391.65,8.37,30.87,2.33,0.0,31.25,0.0,2015-07-08
7.85,0.69,385.74,10.71,31.51,3.73,0.0,34.31,0.0,2015-07-09
8.12,0.71,371.6,9.33,31.43,2.77,0.0,34.56,0.0,2015-07-10
7.88,0.7,390.13,11.42,30.79,2.73,0.0,43.44,0.0,2015-07-11
8.19,0.72,382.1,14.24,29.78,3.62,0.0,51.88,0.0,2015-07-12
8.11,0.72,389.55,10.79,31.52,3.47,0.0,37.94,0.0,2015-07-13
8.16,0.72,377.77,10.37,31.19,3.65,0.0,34.94,0.0,2015-07-14
8.02,0.71,382.46,9.8,30.47,3.14,0.0,37.62,0.0,2015-07-15
7.99,0.71,382.34,14.38,30.01,3.48,0.0,51.19,0.0,2015-07-16
7.71,0.69,394.89,13.25,30.51,2.94,0.0,46.12,0.0,2015-07-17
7.91,0.7,384.89,10.84,30.88,2.52,0.0,39.5,0.0,2015-07-18
8.0,0.71,392.2,8.47,32.76,2.03,0.0,28.44,0.0,2015-07-19
7.66,0.69,408.45,9.35,33.83,2.59,0.0,28.31,0.0,2015-07-20
6.65,0.59,427.53,12.62,34.01,1.84,2.07,36.0,0.006186868775176539,2015-07-21
6.36,0.57,418.99,13.87,34.26,1.66,0.32,36.75,0.0009496412656573417,2015-07-22
6.91,0.62,416.31,15.75,32.62,1.99,15.66,47.12,0.04885248784112973,2015-07-23
7.44,0.67,405.06,14.7,31.73,1.96,0.02,46.44,6.416803945436493e-05,2015-07-24
7.86,0.71,396.08,14.12,32.05,2.36,0.0,43.69,0.0,2015-07-25
6.92,0.62,422.77,14.63,32.66,2.17,0.0,40.81,0.0,2015-07-26
7.6,0.69,417.05,14.62,33.7,2.44,0.0,42.31,0.0,2015-07-27
7.95,0.73,401.77,12.5,33.9,1.84,0.0,37.25,0.0,2015-07-28
7.78,0.71,407.43,13.86,34.52,1.3,0.0,38.62,0.0,2015-07-29
7.55,0.69,417.45,13.97,34.83,2.77,0.01,36.88,2.923448243675901e-05,2015-07-30
5.65,0.52,439.02,10.66,35.67,3.5,0.0,26.75,0.0,2015-07-31
7.09,0.65,421.58,10.79,35.76,2.66,0.02,28.56,5.690414761999998e-05,2015-08-01
6.45,0.59,427.25,11.47,35.0,3.48,0.22,29.94,0.0006387446066044395,2015-08-02
6.87,0.63,426.62,11.37,36.13,2.8,0.6,28.56,0.00168815732797998,2015-08-03
7.88,0.73,392.12,10.16,32.58,3.12,0.03,35.19,9.359549162181392e-05,2015-08-04
7.34,0.68,393.34,11.61,32.08,2.66,0.0,40.88,0.0,2015-08-05
7.83,0.73,387.21,11.44,31.89,3.23,0.0,34.88,0.0,2015-08-06
7.63,0.71,390.62,13.19,32.13,3.45,0.0,40.69,0.0,2015-08-07
6.98,0.66,412.4,13.69,32.08,3.42,0.0,42.06,0.0,2015-08-08
6.8,0.64,414.48,13.76,33.67,1.76,0.01,41.62,3.0163586382559336e-05,2015-08-09
3.61,0.34,421.03,15.62,30.66,2.45,1.45,46.12,0.004807816923822793,2015-08-10
7.36,0.7,388.3,14.22,31.3,4.6,0.03,45.44,9.748852998360278e-05,2015-08-11
7.46,0.71,378.62,11.83,29.57,4.58,0.0,43.31,0.0,2015-08-12
7.47,0.71,381.85,12.79,29.84,4.47,0.0,43.38,0.0,2015-08-13
4.85,0.47,411.27,14.32,28.24,2.88,11.05,48.19,0.03978272650315342,2015-08-14
6.27,0.6,411.09,14.94,29.9,3.48,3.52,46.75,0.011982924376924125,2015-08-15
4.47,0.43,408.34,18.33,27.55,4.56,6.8,68.56,0.02511951040411498,2015-08-16
7.09,0.69,392.1,16.58,29.07,3.63,0.16,61.31,0.000559679318842154,2015-08-17
6.06,0.59,409.34,17.68,30.16,4.16,0.1,58.31,0.0003373320625627604,2015-08-18
